"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2023,202301,7349,2023000247867,6804.0,2023000073491,110001,1,1,6804.0,3,1,29,1,1,100,0,0,10,101,1,10,75000,1,11
2023,202301,7349,2023000247867,6804.0,2023000073491,110001,1,2,6318.0,3,2,28,1,1,100,0,0,7,71,1,10,22800,1,11
2023,202301,7511,2023000258360,17658.0,2023000075111,50101,1,1,17658.0,0,2,30,6,1,100,0,0,8,81,1,10,0,1,11
2023,202301,7511,2023000258360,17658.0,2023000075111,50101,1,2,21708.0,0,1,30,4,1,100,0,0,4,40,1,10,34000,1,11
2023,202301,7673,2023000268793,8424.0,2023000076731,220101,1,1,8262.0,3,2,42,4,8,802,0,0,7,71,1,10,12000,2,20
2023,202301,8321,2023000313098,24786.0,2023000083211,40101,1,1,24624.0,0,2,30,6,8,830,0,0,7,71,1,12,27200,1,11
2023,202301,8483,2023000323886,3240.0,2023000084831,150201,1,1,3240.0,0,2,28,6,1,100,0,0,6,64,1,10,75000,1,11
2023,202301,8483,2023000323886,3240.0,2023000084831,150201,1,2,5832.0,0,1,28,6,1,100,0,0,6,63,1,10,45000,1,11
2023,202301,8807,2023000344221,10206.0,2023000088071,160001,1,1,10206.0,0,1,62,1,8,802,0,0,6,63,1,10,65000,1,11
2023,202301,8969,2023000355308,9720.0,2023000089691,40101,1,2,9396.0,0,2,58,1,1,100,0,0,6,65,1,10,25200,1,11
2023,202301,9131,2023000366657,21384.0,2023000091311,280201,1,1,21546.0,2,2,33,1,2,200,0,0,10,101,1,10,21800,1,11
2023,202301,9131,2023000366657,21384.0,2023000091311,280201,1,2,19440.0,2,1,36,1,2,200,0,0,6,63,1,10,100000,1,11
2023,202301,9293,2023000377094,38232.0,2023000092931,280301,1,1,38394.0,0,2,37,6,1,100,0,0,11,116,1,12,50000,1,11
2023,202301,9779,2023000411075,2916.0,2023000097791,230001,1,1,2916.0,0,2,65,1,1,100,0,0,6,65,1,10,44000,1,11
2023,202301,10103,2023000434771,9558.0,2023000101031,40101,1,1,9720.0,0,1,49,1,1,100,0,0,11,114,1,10,154000,1,11
2023,202301,10103,2023000434771,9558.0,2023000101031,40101,1,2,15066.0,0,2,46,1,1,100,0,0,11,114,1,10,90000,1,11
2023,202301,10265,2023000444504,3402.0,2023000102651,240001,1,2,3078.0,0,2,62,1,1,100,0,0,6,65,1,10,60000,1,11
2023,202301,10427,2023000455457,7776.0,2023000104271,30001,1,1,7776.0,2,2,44,4,1,100,0,0,6,63,1,10,52000,1,11
2023,202301,10427,2023000455457,7776.0,2023000104271,30001,1,2,9558.0,0,2,23,6,8,801,0,0,6,63,1,10,35400,1,11
2023,202301,10589,2023000466611,2754.0,2023000105891,230001,1,1,2754.0,1,2,34,6,1,100,0,0,7,71,1,10,20000,1,11
2023,202301,10751,2023000477805,51840.0,2023000107511,90001,1,1,51840.0,1,1,39,4,1,100,0,0,7,71,1,10,80000,1,11
2023,202301,10751,2023000477805,51840.0,2023000107511,90001,1,2,36126.0,1,2,29,4,1,100,0,0,7,71,1,10,70000,1,11
2023,202301,10913,2023000488183,7776.0,2023000109131,20001,1,1,7938.0,3,2,41,3,7,700,1,100,6,61,1,10,0,1,11
2023,202301,11723,2023000539532,3726.0,2023000117231,230001,1,2,2268.0,0,2,65,1,8,826,4,498,8,81,1,10,38000,1,11
2023,202301,11885,2023000550961,22842.0,2023000118851,280301,1,1,22842.0,4,2,39,4,2,200,0,0,6,63,1,10,77000,1,11
2023,202301,11885,2023000550961,22842.0,2023000118851,280301,1,2,35316.0,0,1,21,6,2,200,0,0,6,63,1,10,24000,1,11
2023,202301,11885,2023000550961,22842.0,2023000118851,280301,1,3,17010.0,0,2,20,6,2,200,0,0,6,63,1,10,18500,1,11
2023,202301,12047,2023000561809,15714.0,2023000120471,10001,1,1,15714.0,0,2,63,1,1,100,0,0,11,114,1,10,80000,1,11
2023,202301,12857,2023000615045,13608.0,2023000128571,230001,1,1,13446.0,2,2,44,3,1,100,0,0,4,40,1,10,18000,1,11
2023,202301,13019,2023000625765,56862.0,2023000130191,90001,1,1,56862.0,3,2,40,1,2,200,0,0,11,114,1,10,103000,1,11
2023,202301,13019,2023000625765,56862.0,2023000130191,90001,1,2,32886.0,3,1,42,1,2,200,0,0,11,114,1,10,126000,1,11
2023,202301,13019,2023000625765,56862.0,2023000130191,90001,1,5,32562.0,0,1,22,6,2,200,0,0,6,63,1,10,4000,2,20
2023,202301,13505,2023000656815,11178.0,2023000135051,140101,1,1,11016.0,1,2,53,1,2,200,0,0,11,114,1,10,55000,1,11
2023,202301,13505,2023000656815,11178.0,2023000135051,140101,1,2,9720.0,1,1,54,1,2,200,0,0,10,101,1,10,95000,2,20
2023,202301,13505,2023000656815,11178.0,2023000135051,140101,1,3,17010.0,0,1,19,6,2,200,0,0,6,63,1,10,12000,1,11
2023,202301,13829,2023000679338,10044.0,2023000138291,160001,1,2,8586.0,0,2,60,1,1,100,0,0,7,71,1,10,18600,1,11
2023,202301,13991,2023000690938,8424.0,2023000139911,100001,1,1,8586.0,0,1,59,1,1,100,0,0,7,71,1,10,0,1,11
2023,202301,13991,2023000690938,8424.0,2023000139911,100001,1,2,9558.0,0,2,54,1,1,100,0,0,6,65,1,10,14400,1,11
2023,202301,14477,2023000725092,14094.0,2023000144771,230001,1,1,14094.0,1,2,36,1,2,200,0,0,7,71,1,10,30000,1,11
2023,202301,14477,2023000725092,14094.0,2023000144771,230001,1,2,10854.0,1,1,34,1,2,200,0,0,7,71,1,10,30000,1,11
2023,202301,14639,2023000736623,8748.0,2023000146391,100001,1,1,8586.0,1,2,28,1,1,100,0,0,6,65,1,10,40300,1,11
2023,202301,14639,2023000736623,8748.0,2023000146391,100001,1,2,6966.0,1,1,29,1,1,100,0,0,6,65,1,10,38400,1,11
2023,202301,14963,2023000760140,9396.0,2023000149631,280201,1,3,14256.0,3,2,40,6,1,100,0,0,6,64,1,10,7000,1,11
2023,202301,15125,2023000770196,1782.0,2023000151251,50101,1,1,1782.0,1,1,33,1,1,100,0,0,10,101,1,10,160000,1,11
2023,202301,15125,2023000770196,1782.0,2023000151251,50101,1,2,1782.0,1,2,46,1,1,100,0,0,11,115,1,10,36000,1,11
2023,202301,15287,2023000780621,7776.0,2023000152871,140401,1,1,7776.0,2,1,33,1,1,100,0,0,10,101,1,10,92000,1,11
2023,202301,15449,2023000791637,17820.0,2023000154491,40201,1,2,20250.0,2,1,37,1,1,100,0,0,10,101,1,10,145000,2,20
2023,202301,15611,2023000802526,24462.0,2023000156111,40101,1,1,24462.0,3,2,42,1,1,100,0,0,10,101,1,10,54000,1,11
2023,202301,15611,2023000802526,24462.0,2023000156111,40101,1,2,31914.0,3,1,40,1,1,100,0,0,8,81,1,10,79000,1,11
2023,202301,15773,2023000813002,10692.0,2023000157731,110001,1,1,10692.0,0,1,45,6,2,200,0,0,6,63,1,10,44000,1,11
2023,202301,15935,2023000824259,11988.0,2023000159351,190101,1,1,11826.0,1,1,34,1,1,100,0,0,6,63,1,10,89000,1,11
2023,202301,15935,2023000824259,11988.0,2023000159351,190101,1,2,7128.0,1,2,28,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,16259,2023000846121,21546.0,2023000162591,150101,1,1,21546.0,0,1,40,1,1,100,0,0,7,71,1,10,58000,1,11
2023,202301,16259,2023000846121,21546.0,2023000162591,150101,1,2,16362.0,0,2,39,1,1,100,0,0,10,101,1,10,57000,1,11
2023,202301,16745,2023000879841,20412.0,2023000167451,40201,1,1,20412.0,0,1,48,3,1,100,0,0,6,61,1,10,90000,1,11
2023,202301,16907,2023000890699,19440.0,2023000169071,140401,1,1,19278.0,0,2,53,1,1,100,0,0,10,101,1,10,95000,1,11
2023,202301,16907,2023000890699,19440.0,2023000169071,140401,1,2,18468.0,0,1,51,1,1,100,0,0,11,114,1,10,250000,1,11
2023,202301,17069,2023000901772,2592.0,2023000170691,180101,1,1,2592.0,2,2,35,2,1,100,0,0,11,116,1,10,10800,2,20
2023,202301,17231,2023000913291,3402.0,2023000172311,80001,1,4,4860.0,0,2,31,6,2,200,0,0,6,63,1,10,32000,1,11
2023,202301,17555,2023000934919,44874.0,2023000175551,160001,1,3,58158.0,0,1,43,6,1,100,0,0,6,63,1,10,35000,1,11
2023,202301,17717,2023000944617,53136.0,2023000177171,10001,1,1,52974.0,3,2,49,1,2,200,0,0,6,65,1,10,33000,1,11
2023,202301,17717,2023000944617,53136.0,2023000177171,10001,1,2,24462.0,3,1,51,1,2,200,0,0,6,63,1,10,28000,1,11
2023,202301,17717,2023000944617,53136.0,2023000177171,10001,1,3,37098.0,0,2,20,6,2,200,0,0,7,71,1,10,18000,1,11
2023,202301,18041,2023000966787,19278.0,2023000180411,150201,1,1,19278.0,1,2,36,6,2,200,0,0,11,114,1,10,40000,1,11
2023,202301,18527,2023001000237,4374.0,2023000185271,180201,1,2,15066.0,0,1,27,1,8,801,0,0,6,63,1,10,35000,1,11
2023,202301,18689,2023001010669,3726.0,2023000186891,240001,1,1,3726.0,0,1,59,4,8,826,0,0,7,71,1,10,84000,1,11
2023,202301,19013,2023001032533,18954.0,2023000190131,150101,1,1,18954.0,5,2,39,1,1,100,0,0,11,114,1,10,36000,1,11
2023,202301,19013,2023001032533,18954.0,2023000190131,150101,1,2,25272.0,5,1,42,1,1,100,0,0,11,114,1,10,91000,1,11
2023,202301,19337,2023001056224,27540.0,2023000193371,40101,1,1,27540.0,0,1,27,6,1,100,0,0,10,101,1,10,105000,1,11
2023,202301,19337,2023001056224,27540.0,2023000193371,40101,1,2,27378.0,0,1,27,6,1,100,0,0,10,101,1,10,7000,1,11
2023,202301,19499,2023001069488,4860.0,2023000194991,230001,1,1,5022.0,0,1,45,1,1,100,0,0,11,116,1,10,131000,1,11
2023,202301,19499,2023001069488,4860.0,2023000194991,230001,1,2,4050.0,0,2,44,1,1,100,0,0,11,116,1,10,90000,1,11
2023,202301,19823,2023001090999,10530.0,2023000198231,100001,1,2,8262.0,0,1,61,1,1,100,0,0,7,71,1,10,13000,1,11
2023,202301,19985,2023001102731,11502.0,2023000199851,30001,1,1,11502.0,1,2,58,4,2,200,0,0,11,114,1,10,40000,1,11
2023,202301,20147,2023001112934,13122.0,2023000201471,70001,1,1,13122.0,0,1,60,4,1,100,0,0,6,64,1,10,20000,1,11
2023,202301,20633,2023001150230,29322.0,2023000206331,250001,1,1,29322.0,1,1,51,1,1,100,0,0,6,63,1,10,90000,1,11
2023,202301,20633,2023001150230,29322.0,2023000206331,250001,1,2,34182.0,1,2,49,1,1,100,0,0,8,81,1,10,25000,1,11
2023,202301,20795,2023001162005,40338.0,2023000207951,160001,1,3,46980.0,0,2,38,6,2,200,0,0,6,63,1,10,49500,1,11
2023,202301,20957,2023001174091,7290.0,2023000209571,60001,1,1,7290.0,1,1,31,1,1,100,0,0,6,63,1,10,28800,1,11
2023,202301,21119,2023001185127,36126.0,2023000211191,140301,1,2,26244.0,1,2,21,3,2,200,0,0,6,65,1,10,15200,1,11
2023,202301,21119,2023001185127,36126.0,2023000211191,140301,1,4,11826.0,0,2,54,6,2,200,0,0,10,101,1,10,70000,1,11
2023,202301,21281,2023001196048,13446.0,2023000212811,210101,1,1,13446.0,1,1,49,1,1,100,0,0,10,101,1,10,95000,1,11
2023,202301,21281,2023001196048,13446.0,2023000212811,210101,1,2,10692.0,1,2,47,1,1,100,0,0,10,101,1,10,35000,1,11
2023,202301,21605,2023001219489,55566.0,2023000216051,270201,1,1,55404.0,1,2,53,4,1,100,0,0,7,71,1,10,160000,1,11
2023,202301,21605,2023001219489,55566.0,2023000216051,270201,1,2,79866.0,0,2,23,6,1,100,0,0,10,101,1,12,12000,1,11
2023,202301,21929,2023001240196,8586.0,2023000219291,40301,1,2,9234.0,0,1,61,4,1,100,0,0,6,65,1,10,108000,1,11
2023,202301,22091,2023001249781,6804.0,2023000220911,90001,1,1,6966.0,0,2,23,6,1,100,0,0,6,63,1,10,25000,1,11
2023,202301,22091,2023001249781,6804.0,2023000220911,90001,1,3,7938.0,0,2,23,6,1,100,0,0,6,65,1,10,18000,1,11
2023,202301,22415,2023001270461,37584.0,2023000224151,170001,1,1,37746.0,1,1,48,1,1,100,0,0,6,63,1,10,0,1,11
2023,202301,22577,2023001281361,6642.0,2023000225771,10001,1,1,6804.0,1,1,46,1,7,700,1,100,6,64,1,10,40000,1,11
2023,202301,22577,2023001281361,6642.0,2023000225771,10001,1,2,2916.0,1,2,57,1,1,100,0,0,6,63,1,10,17000,1,11
2023,202301,22739,2023001292678,19602.0,2023000227391,80001,1,1,19602.0,0,2,20,6,1,100,0,0,7,71,1,10,13700,1,11
2023,202301,22739,2023001292678,19602.0,2023000227391,80001,1,2,24624.0,0,2,19,6,1,100,0,0,7,71,1,10,1000,1,11
2023,202301,22901,2023001305081,43740.0,2023000229011,80001,1,1,43740.0,2,2,54,4,1,100,0,0,5,50,1,10,0,1,11
2023,202301,23063,2023001316084,47466.0,2023000230631,220101,1,1,47466.0,0,2,54,4,1,100,0,0,10,101,1,10,172000,1,11
2023,202301,23225,2023001327980,10692.0,2023000232251,120201,1,1,10530.0,0,2,30,4,1,100,0,0,6,64,1,10,12700,1,11
2023,202301,23225,2023001327980,10692.0,2023000232251,120201,1,2,11016.0,0,2,48,3,1,100,0,0,6,63,1,10,18000,1,11
2023,202301,23225,2023001327980,10692.0,2023000232251,120201,1,3,12150.0,0,2,36,6,1,100,0,0,6,63,1,10,20000,1,11
2023,202301,23225,2023001327980,10692.0,2023000232251,120201,1,4,11664.0,0,2,36,6,1,100,0,0,6,65,1,10,10000,1,11
2023,202301,23549,2023001349452,7128.0,2023000235491,140101,1,1,7128.0,3,1,46,1,1,100,0,0,6,63,1,10,107000,1,11
2023,202301,23711,2023001358889,15876.0,2023000237111,120201,1,1,15876.0,1,1,37,1,1,100,0,0,11,114,1,10,95000,1,11
2023,202301,23873,2023001370266,16686.0,2023000238731,90001,1,1,16686.0,2,2,28,1,1,100,0,0,10,101,1,10,65000,1,11
2023,202301,23873,2023001370266,16686.0,2023000238731,90001,1,2,23166.0,2,1,31,1,1,100,0,0,10,101,1,10,40600,1,11
2023,202301,24035,2023001379752,23328.0,2023000240351,20001,1,1,23328.0,0,1,37,1,1,100,0,0,11,114,1,10,80000,1,11
2023,202301,24197,2023001390030,7776.0,2023000241971,250001,1,1,7776.0,0,1,48,1,1,100,0,0,8,81,1,10,90000,1,11
2023,202301,24521,2023001410951,13284.0,2023000245211,140301,1,1,13284.0,0,1,64,1,1,100,0,0,11,114,1,10,250000,1,11
2023,202301,24683,2023001421758,16848.0,2023000246831,10001,1,1,16686.0,2,2,42,1,4,400,0,0,11,116,1,10,80000,1,11
2023,202301,24683,2023001421758,16848.0,2023000246831,10001,1,2,13284.0,2,1,61,1,1,100,0,0,6,65,1,10,77000,1,11
2023,202301,25169,2023001456370,8586.0,2023000251691,280301,1,2,8748.0,0,1,58,1,2,200,0,0,6,61,1,10,40000,1,11
2023,202301,25655,2023010124423,6318.0,2023000256551,10102,4,1,6318.0,0,1,27,6,6,600,0,0,7,71,1,14,26000,1,12
2023,202301,25979,2023000073721,12798.0,2023000259791,20002,1,1,12960.0,3,2,58,1,1,100,0,0,11,115,1,10,15000,1,11
2023,202301,25979,2023000073721,12798.0,2023000259791,20002,1,2,13770.0,3,1,61,1,1,100,0,0,11,115,1,10,240000,1,11
2023,202301,25979,2023000073721,12798.0,2023000259791,20002,1,3,11340.0,0,1,20,6,1,100,0,0,7,71,1,10,18000,1,13
2023,202301,26465,2023000366847,32724.0,2023000264651,20002,1,1,32724.0,2,2,45,5,1,100,0,0,10,101,1,10,50000,1,11
2023,202301,26627,2023000458920,18630.0,2023000266271,30002,1,2,16524.0,0,2,59,4,1,100,0,0,10,101,1,10,60000,1,11
2023,202301,26789,2023000568416,10044.0,2023000267891,40002,1,1,10044.0,0,1,61,6,3,381,0,0,6,63,1,10,25000,1,11
2023,202301,26951,2023000667495,18144.0,2023000269511,30002,1,1,18306.0,7,1,44,1,8,811,0,0,8,81,1,10,50000,1,11
2023,202301,27275,2023000872735,2592.0,2023000272751,40002,1,1,2592.0,0,1,64,6,3,398,0,0,6,63,1,10,4000,1,11
2023,202301,27437,2023000966708,28836.0,2023000274371,30002,1,1,28836.0,3,1,26,1,1,100,0,0,6,63,1,10,125000,1,11
2023,202301,27599,2023001068025,7452.0,2023000275991,20002,1,1,7452.0,2,1,58,1,7,700,0,0,6,63,1,10,70000,1,11
2023,202301,27599,2023001068025,7452.0,2023000275991,20002,1,2,4374.0,2,2,56,1,7,700,0,0,6,63,1,10,18000,1,11
2023,202301,27761,2023001156930,9720.0,2023000277611,40002,1,2,6318.0,2,2,48,6,3,381,0,0,10,101,1,10,45000,1,11
2023,202301,27761,2023001156930,9720.0,2023000277611,40002,1,5,10206.0,2,1,25,6,3,381,0,0,6,63,1,10,10000,1,11
2023,202301,27923,2023001242422,22032.0,2023000279231,40002,1,1,21870.0,2,1,31,1,1,100,0,0,8,81,1,10,90000,1,11
2023,202301,27923,2023001242422,22032.0,2023000279231,40002,1,2,9720.0,2,2,29,1,3,381,0,0,6,63,1,10,18200,1,11
2023,202301,28247,2023001449974,30132.0,2023000282471,10202,1,2,23166.0,0,2,36,1,1,100,0,0,10,101,1,10,86000,1,11
2023,202301,28409,2023010005419,1296.0,2023000284091,40004,4,1,1296.0,0,1,36,6,1,100,0,0,6,64,1,10,0,2,20
2023,202301,29543,2023010054666,7938.0,2023000295431,12204,4,1,7938.0,0,1,21,6,1,100,1,100,6,63,1,10,10000,1,11
2023,202301,30353,2023010091443,4698.0,2023000303531,13204,4,1,4698.0,0,1,20,6,2,200,0,0,6,63,1,14,22000,1,12
2023,202301,30515,2023010097637,13932.0,2023000305151,12204,4,1,13932.0,0,1,20,6,1,100,0,0,7,71,1,12,15100,1,11
2023,202301,31649,2023010148499,29808.0,2023000316491,11804,4,1,29808.0,0,1,31,6,3,315,0,0,8,81,1,10,36000,1,11
2023,202301,32297,2023010175798,2268.0,2023000322971,100004,4,1,2268.0,0,1,40,6,1,100,4,498,6,65,1,12,8000,1,11
2023,202301,32459,2023000006813,9558.0,2023000324591,12804,1,1,9558.0,3,2,42,1,1,100,0,0,10,101,1,10,71000,1,11
2023,202301,32459,2023000006813,9558.0,2023000324591,12804,1,2,10530.0,3,1,42,1,1,100,0,0,10,101,1,10,54000,1,11
2023,202301,32621,2023000016533,7128.0,2023000326211,12804,1,1,6966.0,2,2,39,1,1,100,0,0,7,71,1,10,75000,1,11
2023,202301,32621,2023000016533,7128.0,2023000326211,12804,1,2,7776.0,2,1,39,1,1,100,0,0,6,63,1,10,35500,1,11
2023,202301,32945,2023000032106,13770.0,2023000329451,10904,1,1,13770.0,3,1,45,1,1,100,0,0,10,101,1,10,150000,1,11
2023,202301,32945,2023000032106,13770.0,2023000329451,10904,1,2,17334.0,3,2,35,1,1,100,0,0,10,101,1,10,85000,1,11
2023,202301,32945,2023000032106,13770.0,2023000329451,10904,1,3,14094.0,0,1,19,6,1,100,0,0,7,71,1,10,10000,1,11
2023,202301,33107,2023000039317,31590.0,2023000331071,40004,1,1,31590.0,0,2,61,1,3,361,2,200,6,65,1,10,47000,1,11
2023,202301,33593,2023000062583,15228.0,2023000335931,11604,1,1,15390.0,0,1,59,6,1,100,0,0,8,81,1,10,106000,1,11
2023,202301,33917,2023000077657,20574.0,2023000339171,13404,1,2,21708.0,1,1,42,6,1,100,0,0,6,63,1,10,15600,1,11
2023,202301,33917,2023000077657,20574.0,2023000339171,13404,1,3,23490.0,0,1,21,6,1,100,0,0,6,63,1,10,8000,1,11
2023,202301,34079,2023000086116,10854.0,2023000340791,12804,1,1,10854.0,1,1,38,1,1,100,0,0,6,64,1,10,50000,1,11
2023,202301,34079,2023000086116,10854.0,2023000340791,12804,1,2,10368.0,1,2,44,1,8,826,1,100,8,81,1,10,2000,1,11
2023,202301,34241,2023000093669,7938.0,2023000342411,13504,1,1,7938.0,3,1,50,1,1,100,0,0,11,114,1,10,76000,1,11
2023,202301,34403,2023000101794,14418.0,2023000344031,10104,1,3,19764.0,0,1,49,4,8,826,1,100,6,65,1,10,54000,1,11
2023,202301,34565,2023000110062,17334.0,2023000345651,10804,1,1,17334.0,0,2,64,1,1,100,0,0,11,114,1,10,108000,1,11
2023,202301,34727,2023000117611,1134.0,2023000347271,100004,1,2,1134.0,0,2,58,1,1,100,0,0,10,101,1,10,72000,1,11
2023,202301,34889,2023000125628,15552.0,2023000348891,250304,1,1,15552.0,0,1,52,4,8,826,0,0,7,71,1,10,85000,1,11
2023,202301,35051,2023000133056,56052.0,2023000350511,13404,1,1,56052.0,6,1,38,1,7,700,1,100,5,50,1,10,47000,1,11
2023,202301,35051,2023000133056,56052.0,2023000350511,13404,1,2,53460.0,6,2,35,1,7,700,1,100,6,65,1,10,58000,1,11
2023,202301,35213,2023000140693,11340.0,2023000352131,11604,1,2,8262.0,0,2,23,6,1,100,0,0,11,114,1,10,15000,1,11
2023,202301,35213,2023000140693,11340.0,2023000352131,11604,1,3,8262.0,0,2,23,6,1,100,0,0,10,101,1,10,15000,1,11
2023,202301,35861,2023000173761,11826.0,2023000358611,10904,1,1,11826.0,0,2,27,6,1,100,0,0,11,114,1,12,500,1,11
2023,202301,35861,2023000173761,11826.0,2023000358611,10904,1,2,12150.0,0,1,29,6,8,812,0,0,11,115,1,12,70000,1,11
2023,202301,36023,2023000181600,2106.0,2023000360231,10804,1,2,6642.0,0,2,33,4,3,315,0,0,10,101,1,10,17000,1,11
2023,202301,36023,2023000181600,2106.0,2023000360231,10804,1,3,6804.0,0,2,30,6,3,315,0,0,11,114,1,12,77000,1,11
2023,202301,36023,2023000181600,2106.0,2023000360231,10804,1,5,3240.0,0,2,57,6,3,315,0,0,10,101,1,10,125000,1,11
2023,202301,36347,2023000197952,18630.0,2023000363471,190904,1,1,18468.0,1,2,42,6,8,802,0,0,6,63,1,10,31000,1,11
2023,202301,36509,2023000206821,97038.0,2023000365091,250304,1,2,74196.0,1,1,58,1,8,826,1,100,6,63,1,10,113000,1,11
2023,202301,36833,2023000222471,25110.0,2023000368331,11504,1,1,25110.0,0,2,41,6,9,973,4,498,1,12,1,10,50000,1,11
2023,202301,37157,2023000237277,13608.0,2023000371571,190904,1,1,13608.0,0,2,21,6,8,826,4,498,7,71,1,12,7900,1,11
2023,202301,37319,2023000246402,9720.0,2023000373191,10504,1,1,9720.0,1,2,50,5,1,100,0,0,7,71,1,10,46000,1,11
2023,202301,37319,2023000246402,9720.0,2023000373191,10504,1,2,12312.0,0,2,18,6,1,100,0,0,6,63,1,10,5500,1,11
2023,202301,37643,2023000262325,19926.0,2023000376431,12904,1,1,19764.0,1,1,47,1,6,610,0,0,11,114,1,10,150000,1,11
2023,202301,37643,2023000262325,19926.0,2023000376431,12904,1,2,18792.0,1,2,43,1,6,610,0,0,11,114,1,10,10000,1,11
2023,202301,37967,2023000277045,12150.0,2023000379671,80304,1,1,12150.0,0,2,57,4,1,100,0,0,7,71,1,10,65000,1,11
2023,202301,38291,2023000293167,9072.0,2023000382911,11404,1,2,8424.0,0,2,57,1,1,100,0,0,7,71,1,10,40,1,11
2023,202301,38615,2023000310004,16038.0,2023000386151,11304,1,1,16038.0,0,2,59,1,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,38615,2023000310004,16038.0,2023000386151,11304,1,2,16038.0,0,1,62,1,1,100,0,0,10,101,1,10,250000,1,11
2023,202301,38777,2023000317966,68040.0,2023000387771,40004,1,1,68040.0,0,2,49,1,1,100,0,0,8,81,1,10,87000,1,11
2023,202301,38939,2023000326465,13770.0,2023000389391,10504,1,1,13770.0,0,2,29,6,1,100,0,0,8,81,1,10,70000,1,11
2023,202301,39263,2023000342420,14580.0,2023000392631,11204,1,1,14580.0,0,2,33,1,1,100,0,0,10,101,1,10,40000,1,11
2023,202301,39263,2023000342420,14580.0,2023000392631,11204,1,2,14742.0,0,1,28,1,7,700,1,100,7,71,1,10,40000,1,11
